# m:d:h:z:t:tau:AbsStray_h:Stray_h:AbsTotField:TotField:ConvergeEd:ConvergPhi:NumOfPeriodsInX:IntegrPrecision:GrapheneWidth:GrapheneOffset:AverRho:rho0:l_phi:l_i:l_star:Ms:Hstray_sat
0.425	5.8893e-007	0.396167	8.7e-007	1.7e-006 1e-008	0.28488	-0.00134661	0.466073	0.39482	1e-007    1e-005	2	1e-008	1e-005	0	626.418  626.8  1.8e-007  2.5e-007  2.3e-008	300  90
0.6875	8.46859e-007	0.636368	8.7e-007	1.7e-006 1e-008	0.195323	-0.00236778	0.62428	0.634	1e-007    1e-005	2	1e-008	1e-005	0	626.455  626.8  1.8e-007  2.5e-007  2.3e-008	300  90
0.95	3.69881e-006	0.85323	8.7e-007	1.7e-006 1e-008	0.036177	-0.00274615	0.850484	0.850484	1e-007    1e-005	2	1e-008	1e-005	0	626.518  626.8  1.8e-007  2.5e-007  2.3e-008	300  90
# m:d:h:z:t:tau:AbsStray_h:Stray_h:AbsTotField:TotField:ConvergeEd:ConvergPhi:NumOfPeriodsInX:IntegrPrecision:GrapheneWidth:GrapheneOffset:AverRho:rho0:l_phi:l_i:l_star:Ms:Hstray_sat
1	5e-005	1	8.7e-007	1.7e-006 1e-008	0	0	1	1	1e-007    1e-005	2	1e-008	1e-005	0	626.474  626.8  1.8e-007  2.5e-007  2.3e-008	300  90
4	5e-005	4	8.7e-007	1.7e-006 1e-008	0	0	4	4	1e-007    1e-005	2	1e-008	1e-005	0	625.325  626.8  1.8e-007  2.5e-007  2.3e-008	300  90
7	5e-005	7	8.7e-007	1.7e-006 1e-008	0	0	7	7	1e-007    1e-005	2	1e-008	1e-005	0	624.767  626.8  1.8e-007  2.5e-007  2.3e-008	300  90
10	5e-005	10	8.7e-007	1.7e-006 1e-008	0	0	10	10	1e-007    1e-005	2	1e-008	1e-005	0	624.467  626.8  1.8e-007  2.5e-007  2.3e-008	300  90
# m:d:h:z:t:tau:AbsStray_h:Stray_h:AbsTotField:TotField:ConvergeEd:ConvergPhi:NumOfPeriodsInX:IntegrPrecision:GrapheneWidth:GrapheneOffset:AverRho:rho0:l_phi:l_i:l_star:Ms:Hstray_sat
-0.1	5.04649e-007	-0.0934892	8.8e-007	1.7e-006 1e-008	0.300236	-0.000732174	0.305317	-0.0942213	1e-007    1e-005	2	1e-008	1e-005	0	626.473  626.8  1.8e-007  2.5e-007  2.3e-008	300  90
0.1625	5.11537e-007	0.151882	8.8e-007	1.7e-006 1e-008	0.292763	-0.00390285	0.346981	0.147979	1e-007    1e-005	2	1e-008	1e-005	0	626.46  626.8  1.8e-007  2.5e-007  2.3e-008	300  90
0.425	5.8893e-007	0.396167	8.8e-007	1.7e-006 1e-008	0.252956	0.00164713	0.426398	0.397814	1e-007    1e-005	2	1e-008	1e-005	0	626.472  626.8  1.8e-007  2.5e-007  2.3e-008	300  90
0.6875	8.46859e-007	0.636368	8.8e-007	1.7e-006 1e-008	0.187304	-0.00449856	0.63187	0.63187	1e-007    1e-005	2	1e-008	1e-005	0	626.495  626.8  1.8e-007  2.5e-007  2.3e-008	300  90
0.95	3.69881e-006	0.85323	8.8e-007	1.7e-006 1e-008	0.0367485	-0.00616104	0.847069	0.847069	1e-007    1e-005	2	1e-008	1e-005	0	626.521  626.8  1.8e-007  2.5e-007  2.3e-008	300  90
# m:d:h:z:t:tau:AbsStray_h:Stray_h:AbsTotField:TotField:ConvergeEd:ConvergPhi:NumOfPeriodsInX:IntegrPrecision:GrapheneWidth:GrapheneOffset:AverRho:rho0:l_phi:l_i:l_star:Ms:Hstray_sat
1	5e-005	1	8.8e-007	1.7e-006 1e-008	0	0	1	1	1e-007    1e-005	2	1e-008	1e-005	0	626.474  626.8  1.8e-007  2.5e-007  2.3e-008	300  90
4	5e-005	4	8.8e-007	1.7e-006 1e-008	0	0	4	4	1e-007    1e-005	2	1e-008	1e-005	0	625.325  626.8  1.8e-007  2.5e-007  2.3e-008	300  90
7	5e-005	7	8.8e-007	1.7e-006 1e-008	0	0	7	7	1e-007    1e-005	2	1e-008	1e-005	0	624.767  626.8  1.8e-007  2.5e-007  2.3e-008	300  90
10	5e-005	10	8.8e-007	1.7e-006 1e-008	0	0	10	10	1e-007    1e-005	2	1e-008	1e-005	0	624.467  626.8  1.8e-007  2.5e-007  2.3e-008	300  90
