Symbol,Strike,Expiry,Type,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time
SPY171215C00010000,10.0,2017-12-15,call,197.5,177.96,179.43,0.0,0.00%,1,1,0.00%,SPY,False,SPY,191.22,2016-01-14
SPY171215P00010000,10.0,2017-12-15,put,0.03,0.01,0.08,0.0,0.00%,5,33087,78.91%,SPY,False,SPY,191.22,2016-01-14
SPY161216C00015000,15.0,2016-12-16,call,191.0,172.29,173.15,0.0,0.00%,390,0,0.00%,SPY,False,SPY,191.22,2016-01-14
SPY161216P00015000,15.0,2016-12-16,put,0.02,0.0,0.04,0.0,0.00%,100,8411,89.84%,SPY,False,SPY,191.22,2016-01-14
SPY171215C00015000,15.0,2017-12-15,call,191.0,172.54,174.0,0.0,0.00%,65,0,0.00%,SPY,False,SPY,191.22,2016-01-14
SPY171215P00015000,15.0,2017-12-15,put,0.04,0.0,0.09,0.0,0.00%,10,1546,67.38%,SPY,False,SPY,191.22,2016-01-14
SPY161216C00020000,20.0,2016-12-16,call,174.07,167.41,168.26,0.0,0.00%,0,0,0.00%,SPY,False,SPY,191.22,2016-01-14
SPY161216P00020000,20.0,2016-12-16,put,0.04,0.0,0.04,0.0,0.00%,200,18856,79.69%,SPY,False,SPY,191.22,2016-01-14
SPY171215P00020000,20.0,2017-12-15,put,0.06,0.0,0.1,0.0,0.00%,5,1121,60.16%,SPY,False,SPY,191.22,2016-01-14
SPY161216P00025000,25.0,2016-12-16,put,0.02,0.01,0.05,0.0,0.00%,15,2703,74.22%,SPY,False,SPY,191.22,2016-01-14
SPY171215P00025000,25.0,2017-12-15,put,0.1,0.0,0.11,0.0,0.00%,7,1067,54.69%,SPY,False,SPY,191.22,2016-01-14
SPY161216P00030000,30.0,2016-12-16,put,0.03,0.0,0.05,0.0,0.00%,40,5032,66.41%,SPY,False,SPY,191.22,2016-01-14
SPY171215P00030000,30.0,2017-12-15,put,0.1,0.0,0.14,0.0,0.00%,200,891,50.98%,SPY,False,SPY,191.22,2016-01-14
