Symbol,Strike,Expiry,Type,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time
SPY171215C00010000,10.0,2017-12-15,call,197.5,0.0,0.0,0.0,0.00%,1,0,0.00%,SPY,False,SPY,191.93,2016-01-15
SPY171215P00010000,10.0,2017-12-15,put,0.03,0.0,0.0,0.0,0.00%,5,0,50.00%,SPY,False,SPY,191.93,2016-01-15
SPY161216C00015000,15.0,2016-12-16,call,191.0,0.0,0.0,0.0,0.00%,390,0,0.00%,SPY,False,SPY,191.93,2016-01-15
SPY161216P00015000,15.0,2016-12-16,put,0.02,0.0,0.0,0.0,0.00%,100,0,50.00%,SPY,False,SPY,191.93,2016-01-15
SPY171215C00015000,15.0,2017-12-15,call,191.0,0.0,0.0,0.0,0.00%,65,0,0.00%,SPY,False,SPY,191.93,2016-01-15
SPY171215P00015000,15.0,2017-12-15,put,0.04,0.0,0.0,0.0,0.00%,10,0,50.00%,SPY,False,SPY,191.93,2016-01-15
SPY161216C00020000,20.0,2016-12-16,call,174.07,0.0,0.0,0.0,0.00%,0,0,0.00%,SPY,False,SPY,191.93,2016-01-15
SPY161216P00020000,20.0,2016-12-16,put,0.04,0.0,0.0,0.0,0.00%,200,0,50.00%,SPY,False,SPY,191.93,2016-01-15
SPY171215P00020000,20.0,2017-12-15,put,0.06,0.0,0.0,0.0,0.00%,5,0,25.00%,SPY,False,SPY,191.93,2016-01-15
SPY161216P00025000,25.0,2016-12-16,put,0.02,0.0,0.0,0.0,0.00%,15,0,50.00%,SPY,False,SPY,191.93,2016-01-15
SPY171215P00025000,25.0,2017-12-15,put,0.1,0.0,0.0,0.0,0.00%,7,0,25.00%,SPY,False,SPY,191.93,2016-01-15
SPY161216P00030000,30.0,2016-12-16,put,0.03,0.0,0.0,0.0,0.00%,40,0,50.00%,SPY,False,SPY,191.93,2016-01-15
SPY171215P00030000,30.0,2017-12-15,put,0.1,0.0,0.0,0.0,0.00%,200,0,25.00%,SPY,False,SPY,191.93,2016-01-15
